Language,Total Keys,Missing Keys,Completion %,Missing Subpage Keys,Critical Missing Keys
AR,278,3124,8.2%,2681,2840 critical keys missing
DE,1523,2247,44.8%,2247,2247 critical keys missing
ES,1224,2560,36.0%,2276,2276 critical keys missing
FR,1224,2560,36.0%,2276,2276 critical keys missing
ID,278,3124,8.2%,2681,2840 critical keys missing
IT,608,2794,17.9%,2351,2510 critical keys missing
JA,779,2623,22.9%,2339,2339 critical keys missing
KO,779,2623,22.9%,2339,2339 critical keys missing
PL,278,3124,8.2%,2681,2840 critical keys missing
PT,278,3124,8.2%,2681,2840 critical keys missing
RU,278,3124,8.2%,2681,2840 critical keys missing
TH,278,3124,8.2%,2681,2840 critical keys missing
VI,278,3124,8.2%,2681,2840 critical keys missing
